GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
AGRP	9	20	21	15	23	15
AGT	472	488	263	304	632	513
AGTPBP1	368	462	417	292	451	509
AGTR1	66	153	171	94	352	60
AGTR2	324	323	315	266	838	555
AGTRAP	944	1046	817	1225	1073	1324
AGXT	25	6	9	31	3	24
AGXT2	60	55	90	76	47	53
AHCTF1	707	1057	1052	932	1102	958
AHCY	1681	1596	1466	1433	1925	1893
AHCYL1	1776	2111	1614	1762	1779	2351
AHCYL2	1849	2181	1863	2211	1494	3213
AHDC1	983	1187	1173	1345	1329	1075
AHI1	285	308	336	296	333	301
AHNAK2	572	1152	1614	889	1754	941
AHR1A	434	547	601	735	844	568
AHR1B	69	66	39	49	55	114
AHR2	15	46	15	42	40	73
AHRR	16	18	20	29	29	26
AHSA1	4105	3024	2607	3131	2579	4332
AHSA2	883	755	584	665	659	727
AHSG	0	1	17	0	3	6
AICDA	0	1	3	4	0	0
AIDA	1036	865	1015	938	1071	944
AIFM1	1469	1525	1105	1380	1397	1749
AIFM2	220	225	199	242	138	276
AIFM3	420	415	243	194	476	539
AIG1	107	124	130	123	170	100
AIM1	1065	1301	1043	940	979	1790
AIM1L	2	2	1	8	5	4
AIMP1	1325	977	901	730	1118	917
AIMP2	1162	796	641	818	625	1254
AIP	1067	1044	928	1420	1148	1159
AIPL1	9	24	25	38	35	14
AIRE	5	17	1	6	3	3
AJAP1	15	25	29	16	46	23
AK1	698	386	427	520	511	439
AK2	1236	1214	1118	1211	1375	1274
AK3	640	538	617	464	642	922
AK4	3314	2787	2049	2579	1916	5805
AK5	14	16	4	11	48	14
AK6	281	295	210	191	312	183
AK7	226	318	158	143	271	310
AK8	26	60	34	47	38	101
AK9	6	23	4	10	26	15
AKAIN1	13	17	10	6	125	33
AKAP1	5038	5846	4897	5127	4194	9651
AKAP10	757	950	807	980	1044	1207
AKAP11	596	1119	1233	980	1273	1256
AKAP12	2643	4239	4139	2951	4847	3212
AKAP13	843	2587	3049	3307	3349	2393
AKAP14	1	0	0	1	0	3
AKAP17A	1017	1043	803	746	904	1074
AKAP5	118	156	90	111	239	159
AKAP6	98	89	107	97	244	192
AKAP7	166	136	142	176	241	188
AKAP8	1180	1099	1029	1318	1158	1209
AKAP8L	629	616	665	800	646	630
AKAP9	361	826	976	743	977	653
AKIP1	26	23	34	26	43	31
AKIRIN2	1967	1521	1334	1582	1405	1683
AKNA	360	527	405	899	575	446
AKNAD1	26	26	23	26	31	26
AKR1A1	2030	1855	1347	1739	1508	2250
AKR1B1	6407	5210	4853	5568	5814	6274
AKR1B10	375	277	362	727	679	208
AKR1D1	3610	2958	2093	2790	2611	6559
AKR1E2	376	464	343	604	560	349
AKR7A2	1993	1625	1377	3157	1522	2644
AKT1	727	864	857	900	1035	818
AKT3	640	815	909	672	1035	511
AKTIP	731	673	526	526	589	955
ALAD	1352	834	894	1074	729	2526
ALAS1	3218	3084	2221	3630	3339	4379
ALB	60	99	490	58	220	115
ALC	0	0	0	0	0	1
ALCAM	281	367	536	493	587	342
ALDH18A1	692	617	567	774	655	750
ALDH1A1	512	665	733	562	663	472
ALDH1A2	417	610	892	616	548	486
ALDH1A3	2896	1442	1207	1286	1205	1409
ALDH1L2	122	102	137	95	87	99
ALDH2	12250	12216	10433	11430	9893	19844
ALDH3A2	2796	3227	2900	3979	3530	3986
ALDH3B1	82	55	80	99	145	107
ALDH3B2	447	318	406	989	592	478
ALDH4A1	1165	1249	1392	1560	1397	1844
ALDH5A1	626	511	1049	881	875	597
ALDH6A1	976	1143	1367	1292	1331	1558
ALDH7A1	1770	1517	1424	1596	1344	1847
ALDH8A1	2	2	2	3	1	2
ALDH9A1	6135	6266	6266	7334	4314	8060
ALDOA	271	252	285	308	252	268
ALDOB	1996	1690	1441	1980	1626	2778
ALDOC	14415	9696	7431	11744	10711	15893
ALG1	359	249	219	289	352	312
ALG10	203	285	228	244	220	260
ALG11	268	243	250	271	265	315
ALG12	1374	1176	1038	1273	1393	1253
ALG13	593	793	417	608	723	1074
ALG14	258	186	142	183	156	260
ALG2	368	181	228	300	287	193
ALG3	786	605	440	621	520	997
ALG5	522	441	458	464	450	493
ALG6	441	324	273	364	359	522
ALG8	561	617	481	516	528	787
ALG9	936	1274	982	1357	1223	1618
ALK	69	71	47	69	104	151
ALKBH1	206	145	155	220	263	176
ALKBH2	314	261	282	198	241	409
ALKBH3	404	324	336	367	368	320
ALKBH4	99	81	63	102	88	95
ALKBH5	2442	2591	2049	2681	2510	3531
ALKBH8	400	422	212	361	272	562
ALMS1	592	1254	1003	1175	1312	1599
ALOX15B	10	60	31	179	136	5
ALOX5	184	196	161	376	536	200
ALOX5AP	214	175	115	569	444	112
ALPI	3	1	4	3	4	3
ALPK1	142	160	224	271	326	138
ALPK2	4	10	11	18	19	12
ALPK3	277	254	108	263	367	412
ALPL	837	763	642	830	484	583
ALPPL	3	4	11	15	6	9
ALS2	1304	1827	1300	1497	1432	2436
ALS2L	550	754	712	742	745	758
ALX1	119	101	194	128	101	102
ALX4	325	194	201	403	378	431
ALYREF	1314	882	779	1038	851	1104
AMACR	113	85	124	111	130	92
AMBP	2	2	9	1	2	0
AMBRA1	2916	3783	2477	3622	3132	5200
AMD1	3126	2477	2278	2023	2694	2962
AMDHD1	105	96	68	104	98	234
AMDHD2	1344	1176	995	1397	1239	1914
AMER1	671	1235	959	1095	1046	1024
AMER2	12	27	23	23	94	9
AMER3	32	90	53	10	69	85
AMFR	2164	1838	2121	2200	2264	2201
AMH	12125	19563	14021	22141	13508	31268
AMHR2	1282	664	549	807	613	1201
AMIGO2	114	104	102	81	190	68
AMIGO3	76	91	43	70	83	74
AMMECR1	233	360	448	499	503	333
AMMECR1L	795	950	881	953	1068	1150
AMN	12	13	19	160	61	351
AMN1	343	380	363	451	492	470
AMOT	821	1483	1397	1362	1675	1676
AMOTL1	1529	2160	1329	1591	1551	2520
AMOTL2	1736	1912	1410	1936	2160	2676
AMPD1	27	54	46	40	74	73
AMPD2	650	804	758	1033	831	835
